match_id,date,venue,team1,team2,stage,toss_winner,toss_decision,first_ings_score,first_ings_wkts,second_ings_score,second_ings_wkts,match_result,match_winner,wb_runs,wb_wickets,balls_left,player_of_the_match,top_scorer,highscore,best_bowling,best_bowling_figure,match_no,total_runs_off_bat,total_extras,total_wides,total_noballs,total_wickets
55,"May 5,2025","Rajiv Gandhi International Stadium, Hyderabad",SRH,DC,League,SRH,Bowl,133.0,7.0,,,tied,,,,,,,,,,55,128.0,5.0,3.0,0.0,7.0
56,"May 6,2025","Wankhede Stadium, Mumbai",MI,GT,League,GT,Bowl,155.0,8.0,147.0,7.0,completed,GT,,3,0.0,Shubman Gill,Will Jacks,53.0,Jasprit Bumrah,2--19,56,286.0,14.0,6.0,2.0,15.0
57,"May 7,2025","Eden Gardens, Kolkata",KKR,CSK,League,KKR,Bat,179.0,6.0,183.0,8.0,completed,CSK,,2,2.0,Noor Ahmad,Dewald Brevis,52.0,Noor Ahmad,4--31,57,351.0,11.0,6.0,0.0,14.0
58,"May 17,2025","M. Chinnaswamy Stadium, Bangalore",RCB,KKR,League,,Bowl,,,,,tied,,,,,,,,,,58,,,,,
59,"May 18,2025","Sawai Mansingh Stadium, Jaipur",RR,PBKS,League,PBKS,Bat,219.0,5.0,209.0,7.0,completed,PBKS,10,,0.0,Harpreet Brar,Nehal Wadhera,70.0,Harpreet Brar,3--22,59,412.0,15.0,7.0,0.0,12.0
60,"May 18,2025","Arun Jaitley Stadium, Delhi",DC,GT,League,GT,Bowl,199.0,3.0,205.0,0.0,completed,GT,,10,6.0,Sai Sudarshan,Sai Sudarshan,108.0,Arshad Khan,1--7,60,394.0,10.0,7.0,0.0,3.0
61,"May 19,2025","Ekana Cricket Stadium, Lucknow",LSG,SRH,League,SRH,Bowl,205.0,7.0,206.0,4.0,completed,SRH,,6,10.0,Abhishek Sharma,Mitchell Marsh,65.0,Eshan Malinga,2--28,61,391.0,20.0,17.0,2.0,12.0
62,"May 20,2025","Arun Jaitley Stadium, Delhi",CSK,RR,League,RR,Bowl,187.0,8.0,188.0,4.0,completed,RR,,6,17.0,Akash Madhwal,Vaibhav Suryavanshi,57.0,Akash Madhwal,3--29,62,351.0,23.0,10.0,2.0,12.0
63,"May 21,2025","Wankhede Stadium, Mumbai",MI,DC,League,DC,Bowl,180.0,5.0,121.0,10.0,completed,MI,59,,10.0,Suryakumar Yadav,Suryakumar Yadav,73.0,Mitchell Santner,3--11,63,298.0,3.0,1.0,1.0,15.0
64,"May 22,2025","Narendra Modi Stadium, Ahmedabad",GT,LSG,League,GT,Bowl,235.0,2.0,202.0,9.0,completed,LSG,33,,0.0,Mitchell Marsh,Mitchell Marsh,117.0,Will O'Rourke,3--27,64,419.0,18.0,13.0,1.0,11.0
65,"May 23,2025","Ekana Cricket Stadium, Lucknow",RCB,SRH,League,RCB,Bowl,231.0,6.0,189.0,10.0,completed,SRH,42,,1.0,Ishan Kishan,Ishan Kishan,94.0,Pat Cummins,3--28,65,397.0,23.0,6.0,2.0,16.0
66,"May 24,2025","Sawai Mansingh Stadium, Jaipur",PBKS,DC,League,DC,Bowl,206.0,8.0,208.0,4.0,completed,DC,,6,3.0,Sameer Rizvi,Sameer Rizvi,58.0,Mustafizur Rahman,3--33,66,398.0,16.0,9.0,3.0,12.0
67,"May 25,2025","Narendra Modi Stadium, Ahmedabad",GT,CSK,League,CSK,Bat,230.0,5.0,147.0,10.0,completed,CSK,83,,9.0,Dewald Brevis,Dewald Brevis,57.0,Noor Ahmad,3--21,67,353.0,24.0,11.0,0.0,15.0
68,"May 25,2025","Arun Jaitley Stadium, Delhi",KKR,SRH,League,SRH,Bat,278.0,3.0,168.0,10.0,completed,SRH,110,,8.0,Heinrich Klassen,Heinrich Klassen,105.0,Jaydev Unadkat,3--24,68,416.0,29.0,13.0,1.0,13.0
69,"May 26,2025","Sawai Mansingh Stadium, Jaipur",PBKS,MI,League,PBKS,Bowl,184.0,7.0,187.0,3.0,completed,PBKS,,7,9.0,Josh Inglis,Josh Inglis,73.0,Arshdeep Singh,2--28,69,349.0,21.0,13.0,0.0,10.0
70,"May 27,2025","Ekana Cricket Stadium, Lucknow",LSG,RCB,League,RCB,Bowl,227.0,3.0,230.0,4.0,completed,RCB,,6,8.0,Jitesh Sharma,Rishabh Pant,118.0,Will O'Rourke,2--74,70,437.0,20.0,10.0,2.0,7.0
71,"May 29,2025","New PCA Cricket Stadium, Mullanpur",PBKS,RCB,Playoffs,RCB,Bowl,101.0,10.0,106.0,2.0,completed,RCB,,8,60.0,Suyash Sharma,Phil Salt,56.0,Suyash Sharma,3--17,71,192.0,15.0,1.0,1.0,12.0
72,"May 30,2025","New PCA Cricket Stadium, Mullanpur",GT,MI,Playoffs,MI,Bat,228.0,5.0,208.0,6.0,completed,MI,20,,0.0,Rohit Sharma,Rohit Sharma,81.0,Sai Kishore,2--42,72,419.0,16.0,7.0,0.0,11.0
73,"June 1,2025","Narendra Modi Stadium, Ahmedabad",PBKS,MI,Playoffs,PBKS,Bowl,203.0,6.0,207.0,5.0,completed,PBKS,,5,6.0,Shreyas Iyer,Shreyas Iyer,87.0,Azmatullah Omarzai,2--43,73,397.0,13.0,7.0,3.0,11.0
74,"June 3,2025","Narendra Modi Stadium, Ahmedabad",RCB,PBKS,Final,PBKS,Bowl,190.0,9.0,184.0,7.0,completed,RCB,6,,0.0,Krunal Pandya,Shashank Singh,61.0,Arshdeep Singh,3--40,74,354.0,20.0,12.0,0.0,16.0
